row_id	card_id	card_name	attack_name	base_damage	energy_cost	effect_text	effect_family	backend_owner	pattern_target	needs_pending_action	implementation_status	verification_status	fully_reviewed	notes
1	xy1-1	Venusaur-EX	Poison Powder	60	Grass,Colorless,Colorless	Your opponent's Active PokÃ©mon is now Poisoned.	status-condition	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
2	xy1-1	Venusaur-EX	Jungle Hammer	90	Grass,Grass,Colorless,Colorless	Heal 30 damage from this PokÃ©mon.	healing	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
3	xy1-2	M Venusaur-EX	Crisis Vine	120	Grass,Grass,Grass,Colorless	Your opponent's Active PokÃ©mon is now Paralyzed and Poisoned.	status-condition	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
4	xy1-3	Weedle	Leaf Munch	10+	Grass	If your opponent's Active PokÃ©mon is a Grass PokÃ©mon, this attack does 20 more damage.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
5	xy1-4	Kakuna	Harden	0	Grass	During your opponent's next turn, if this PokÃ©mon would be damaged by an attack, prevent that attack's damage done to this PokÃ©mon if that damage is 60 or less.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
6	xy1-5	Beedrill	Poison Jab	20	Grass	Your opponent's Active PokÃ©mon is now Poisoned.	status-condition	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
7	xy1-5	Beedrill	Flash Needle	40Ã—	Grass,Grass	Flip 3 coins. This attack does 40 damage times the number of heads. If all of them are heads, prevent all effects of attacks, including damage, done to this PokÃ©mon during your opponent's next turn.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
8	xy1-7	Ledian	Mach Punch	50	Grass,Grass	This attack does 10 damage to 1 of your opponent's Benched PokÃ©mon. (Don't apply Weakness and Resistance for Benched PokÃ©mon.)	bench-damage	backend-engine	Chain.TargetSelection	yes	implemented	verified	yes	
9	xy1-8	Volbeat	Luring Glow	0	Grass	Switch 1 of your opponent's Benched PokÃ©mon with your opponent's Active PokÃ©mon.	switch-effect	backend-engine	Strategy.AttackEffect	yes	todo	not-reviewed	no	
10	xy1-8	Volbeat	Signal Beam	30	Grass,Colorless	Your opponent's Active PokÃ©mon is now Confused.	status-condition	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
11	xy1-9	Illumise	Pheromotion	0	Grass	Search your deck for a Grass PokÃ©mon, reveal it, and put it into your hand. Shuffle your deck afterward.	search-deck	backend-engine	Strategy.AttackEffect	yes	partial	not-reviewed	no	
12	xy1-9	Illumise	Quick Attack	20+	Grass,Colorless	Flip a coin. If heads, this attack does 20 more damage.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
13	xy1-10	Pansage	Leech Seed	20	Grass,Colorless	Heal 10 damage from this PokÃ©mon.	healing	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
14	xy1-11	Simisage	Torment	20	Colorless	Choose 1 of your opponent's Active PokÃ©mon's attacks. That PokÃ©mon can't use that attack during your opponent's next turn.	attack-restriction	backend-engine	Chain.PreAttack	no	partial-or-recent	not-reviewed	no	
15	xy1-12	Chespin	Pin Missile	10Ã—	Grass	Flip 4 coins. This attack does 10 damage times the number of heads.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
16	xy1-13	Quilladin	Scrunch	0	Colorless	Flip a coin. If heads, prevent all damage done to this PokÃ©mon by attacks during your opponent's next turn.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
17	xy1-13	Quilladin	Wood Hammer	70	Grass,Grass,Colorless	This PokÃ©mon does 10 damage to itself.	self-damage	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
18	xy1-14	Chesnaught	Touchdown	90	Grass,Grass,Colorless,Colorless	Heal 20 damage from this PokÃ©mon.	healing	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
19	xy1-16	Spewpa	Stun Spore	40	Grass,Colorless,Colorless	Flip a coin. If heads, your opponent's Active PokÃ©mon is now Paralyzed.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
20	xy1-17	Vivillon	Conversion Powder	0	Grass	Choose either Asleep or Poisoned. Your opponent's Active PokÃ©mon is now affected by that Special Condition.	status-condition	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
21	xy1-17	Vivillon	Colorful Wind	30+	Colorless,Colorless,Colorless	This attack does 30 more damage for each different type of basic Energy attached to this PokÃ©mon.	conditional-damage	backend-engine	Chain.DamageModifiers	no	partial	not-reviewed	no	
