Issue Type,Issue ID,Epic Name,Epic Link,Summary,Description,Priority,Component/s,Labels,Suggested Role,Story Points,Acceptance Criteria
Epic,PTCG-EPIC-001,Corrección de reglas TCG,,Corrección de reglas oficiales TCG,"Agrupa validaciones de construcción de mazos, energía por turno, retirada, debilidad, resistencia y contadores.",Highest,Rules / Game State,"rules;tcg-compliance;architecture",Backend,13,"Las reglas críticas del TCG quedan implementadas o documentadas con alcance acordado."
Epic,PTCG-EPIC-002,Motor de partida y máquina de estados,,Motor de partida y máquina de estados,"Agrupa la implementación del flujo WAITING, SETUP, ACTIVE y FINISHED, más fases de turno.",Highest,Battle Engine,"backend;architecture;rules",Backend,13,"El motor bloquea acciones ilegales según fase y permite finalizar partidas correctamente."
Epic,PTCG-EPIC-003,UX de batalla e información pública,,UX de batalla e información pública,"Agrupa mejoras visuales sobre contadores, mano del oponente y sincronización de estado.",High,Battle UI,"frontend;ux;qa",Frontend,8,"La información pública relevante se ve de forma clara durante la partida."
Epic,PTCG-EPIC-004,Packs y lobby,,Packs, sobres y flujo de lobby,"Agrupa correcciones sobre apertura de sobres, softlocks y retorno seguro al lobby.",High,Lobby / Packs,"frontend;fullstack;ux",Full Stack,5,"Abrir sobres no bloquea la UI y persiste correctamente las cartas obtenidas."
Epic,PTCG-EPIC-005,QA y documentación,,QA, documentación y consulta a cátedra,"Agrupa documentación funcional, plan de pruebas y consultas de alcance.",Medium,Documentation,"documentation;qa",Documentation / QA,5,"El equipo cuenta con evidencia de pruebas y decisiones documentadas."
Bug,PTCG-FS-001,,Corrección de reglas TCG,Sincronizar contador de cartas restantes del mazo al robar,"La interfaz no actualiza el contador de cartas restantes en el mazo en el momento exacto del robo. Debe decrementar apenas la carta pasa a la mano.",Medium,Battle UI,"frontend;fullstack;game-state;ux",Full Stack,3,"Al robar 1 carta, el contador baja inmediatamente en 1 sin esperar al fin de ronda.;El valor coincide con el estado del servidor.;Se prueba para jugador y oponente si corresponde."
Bug,PTCG-BE-005,,Corrección de reglas TCG,Corregir límite de Energía Básica en Deck Builder,"El deck builder aplica límite de 4 copias a Energía Básica. Las energías básicas deben estar exentas de esa regla.",High,Deck Builder,"backend;rules;tcg-compliance",Backend,3,"Se pueden guardar más de 4 Energías Básicas.;Las cartas no Energía Básica siguen limitadas a 4 copias.;La validación queda cubierta por prueba manual o automatizada."
Bug,PTCG-BE-006,,Corrección de reglas TCG,Validar al menos 1 Pokémon Básico al guardar mazo,"Actualmente se permite guardar/jugar un mazo con 0 Pokémon Básicos. Debe bloquearse el guardado si no hay al menos 1.",High,Deck Builder,"backend;rules;blocking",Backend,3,"Un mazo sin Pokémon Básico no se guarda.;La UI muestra un error claro.;Un mazo con al menos 1 Pokémon Básico se guarda si cumple el resto de reglas."
Story,PTCG-FE-001,,UX de batalla e información pública,Mostrar contador permanente de cartas en mano del oponente,"La cantidad de cartas en la mano del oponente es información pública y debe ser visible aunque las cartas se acumulen visualmente.",High,Battle UI,"frontend;ux;tcg-compliance",Frontend,3,"Se muestra un contador numérico permanente junto al oponente.;El contador se actualiza cuando roba, juega o descarta cartas.;La UI sigue siendo legible en pantallas chicas."
Story,PTCG-FS-002,,Corrección de reglas TCG,Seleccionar manualmente energías para pagar costo de retirada,"Al retirar un Pokémon, el jugador debe elegir qué energías descartar en lugar de que el sistema lo haga aleatoriamente.",High,Battle Engine,"frontend;backend;rules;ux",Full Stack,5,"Al declarar retirada aparece un prompt/modal de selección.;Solo permite confirmar si la selección cubre el costo.;Las energías elegidas pasan a descarte.;Las no elegidas permanecen unidas."
Bug,PTCG-FS-003,,Packs y lobby,Resolver softlock al abrir un sobre,"Al abrir un sobre la UI se congela y obliga a recargar. La animación debe completarse, mostrar cartas y permitir volver sin F5.",High,Lobby / Packs,"frontend;fullstack;ux;blocking",Full Stack,5,"La animación inicia y finaliza sin congelar la UI.;Se muestran las cartas obtenidas.;Existe acción clara para cerrar/volver.;Las cartas quedan persistidas."
Story,PTCG-BE-001,,Motor de partida y máquina de estados,Implementar máquina de estados global de partida,"Crear estados WAITING, SETUP, ACTIVE y FINISHED para controlar el ciclo de vida de la partida.",Highest,Battle Engine,"backend;architecture;rules",Backend,8,"La partida inicia en WAITING o SETUP según flujo actual.;Solo acciones válidas se aceptan en cada estado.;FINISHED bloquea nuevas acciones y expone ganador."
Story,PTCG-BE-002,,Motor de partida y máquina de estados,Implementar subestados de turno DRAW MAIN ATTACK BETWEEN_TURNS,"Dentro de ACTIVE debe existir flujo estricto DRAW -> MAIN -> ATTACK -> BETWEEN_TURNS.",Highest,Battle Engine,"backend;architecture;rules",Backend,8,"El turno avanza por fases definidas.;Acciones fuera de fase se rechazan.;Los efectos entre turnos tienen punto de ejecución claro."
Bug,PTCG-BE-003,,Corrección de reglas TCG,Limitar unión manual de energía a 1 por turno,"Actualmente se pueden unir energías ilimitadas desde la mano en un mismo turno. Debe permitirse solo una unión manual por turno.",High,Battle Engine,"backend;rules;tcg-compliance",Backend,5,"Solo se permite unir 1 energía manual desde la mano por turno.;El flag se reinicia al comenzar el turno del jugador.;Intentos extra devuelven error claro."
Story,PTCG-BE-004,,Corrección de reglas TCG,Refactorizar daño con Debilidad, Resistencia y contadores,"El cálculo de daño debe aplicar debilidad/resistencia y acumular contadores de daño en lugar de restar HP internamente.",High,Battle Engine,"backend;rules;tcg-compliance",Backend,8,"Debilidad multiplica daño según regla definida.;Resistencia reduce daño según regla definida.;El estado KO se evalúa con daño acumulado >= HP.;La UI sigue funcionando con la representación acordada."
Spike,PTCG-SPIKE-001,,QA y documentación,Consultar a cátedra alcance visual de contadores de daño,"Definir con profesores si la UI puede mantener barra de vida aunque internamente use contadores, o si debe mostrar contadores numéricos.",Medium,Documentation,"documentation;rules;scope",Documentation,2,"Consulta redactada.;Respuesta de cátedra registrada.;Decisión reflejada en documentación y backlog."
Task,PTCG-QA-001,,QA y documentación,Crear plan de pruebas de reglas críticas,"Diseñar pruebas para deck builder, energía por turno, retirada, máquina de estados, daño y apertura de sobres.",High,QA,"qa;rules;testing",QA,5,"Existe checklist de pruebas.;Cada bug crítico tiene caso de prueba.;Se documentan resultados esperados."
Task,PTCG-QA-002,,QA y documentación,Ejecutar regresión funcional antes de entrega,"Validar que login, lobby, deck builder, apertura de sobres y batalla sigan funcionando después de las correcciones.",High,QA,"qa;regression;testing",QA,5,"Checklist ejecutado.;Bugs nuevos registrados.;Evidencia mínima adjunta o documentada."
Task,PTCG-DOC-001,,QA y documentación,Documentar reglas implementadas y decisiones de alcance,"Crear documentación clara de reglas TCG implementadas, diferencias aceptadas y decisiones de cátedra.",Medium,Documentation,"documentation;rules",Documentation,5,"Documento actualizado.;Incluye reglas, alcance, limitaciones y capturas si aplican.;Está listo para entregar junto al proyecto."

